Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-16,2023-08-17,휘발유,준중형,5인,면책커버보험 포함,124010~138730
FUKUOKA,FUK,도요타 시엔타 6인승 또는 동급차종,니폰 렌터카,2023-08-16,2023-08-17,,RV,6인,스탠다드플랜 포함,138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-16,2023-08-17,휘발유,중형,5인,면책커버보험 포함,193780
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-16,2023-08-17,휘발유,대형,5인,면책커버보험 포함,315310
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-17,2023-08-18,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-17,2023-08-18,휘발유,소형,5인,면책커버보험 포함,84940~107880
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-08-17,2023-08-18,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-17,2023-08-18,,준중형,5인,스탠다드플랜 포함,100980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-17,2023-08-18,휘발유,준중형,5인,면책커버보험 포함,101510~138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-17,2023-08-18,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-17,2023-08-18,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-18,2023-08-19,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-18,2023-08-19,휘발유,소형,5인,면책커버보험 포함,84940~107880
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-08-18,2023-08-19,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-18,2023-08-19,,준중형,5인,스탠다드플랜 포함,100980
