호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격,가장 가까운 공항,가장 가까운 공항과의 거리,가장 가까운 공항까지 시간
료칸 조잔케이 온센 유큐 노 야도 시라이토,2023-09-01,2023-09-02,삿포로,호텔,평점없음,2성급,308526,New Chitose Airport,70.4 km,1 hour 20 mins
JR 인 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,133942,New Chitose Airport,48.9 km,56 mins
티마트 시티 호텔 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,70311,New Chitose Airport,48.9 km,56 mins
베셀 인 사포로 나카지마 파크,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,167917,New Chitose Airport,49.2 km,58 mins
호텔 바란 자크 삿포로 S6,2023-09-01,2023-09-02,삿포로,호텔,8.0,3성급,135384,New Chitose Airport,48.9 km,56 mins
조잔케이 만세이카쿠 호텔 밀리오네,2023-09-01,2023-09-02,삿포로,호텔,7.3,3성급,117763,New Chitose Airport,66.1 km,1 hour 17 mins
JR 인 삿포로 기타 2 조,2023-09-01,2023-09-02,삿포로,호텔,8.6,3성급,262676,New Chitose Airport,48.9 km,56 mins
테아텔 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.0,2성급,36684,New Chitose Airport,49.2 km,56 mins
APA 호텔 삿포로 스스키노-에키니시,2023-09-01,2023-09-02,삿포로,호텔,7.6,3성급,97149,New Chitose Airport,49.2 km,56 mins
수이잔테이 클럽 조잔케이,2023-09-01,2023-09-02,삿포로,호텔,9.3,4성급,309665,New Chitose Airport,70.4 km,1 hour 20 mins
삿포로 파크 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.5,4성급,137550,New Chitose Airport,49.0 km,57 mins
호텔 라이브맥스 삿포로 에키마에,2023-09-01,2023-09-02,삿포로,호텔,6.5,2성급,151016,New Chitose Airport,48.9 km,56 mins
ANA 크라운 플라자 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.8,4성급,132436,New Chitose Airport,48.7 km,54 mins
APA 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,6.7,3성급,97179,New Chitose Airport,48.9 km,56 mins
란도르 레지던스 스스키노 스위츠,2023-09-01,2023-09-02,삿포로,호텔,5.2,3성급,501822,New Chitose Airport,49.2 km,56 mins
APA 호텔 삿포로 스스키노 에키마에,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,102754,New Chitose Airport,49.2 km,56 mins
뉴 오타니 인 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.7,3성급,111152,New Chitose Airport,48.9 km,56 mins
리치몬드 호텔 삿포로 에키마에,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,208683,New Chitose Airport,48.6 km,53 mins
호텔 선루트 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.4,3성급,163337,New Chitose Airport,48.9 km,56 mins
스마일 호텔 프리미엄 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,96894,New Chitose Airport,48.8 km,55 mins
프레임 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,7.6,3성급,120324,New Chitose Airport,49.7 km,58 mins
호텔 라이브맥스 삿포로,2023-09-01,2023-09-02,삿포로,호텔,6.7,2성급,121184,New Chitose Airport,48.9 km,56 mins
삿포로 호텔 야마치,2023-09-01,2023-09-02,삿포로,호텔,9.0,3성급,97343,New Chitose Airport,48.9 km,56 mins
수퍼 호텔 삿포로-수수키노,2023-09-01,2023-09-02,삿포로,호텔,평점없음,3성급,179388,New Chitose Airport,48.9 km,56 mins
호텔 라이브맥스 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,7.8,2성급,92963,New Chitose Airport,49.2 km,56 mins
호텔 홋케 클럽 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,126796,New Chitose Airport,48.9 km,56 mins
